X1,X2,X3,X4,X5
0.94,0.75,0.66,0.82,1.09
0.90,0.73,0.66,0.87,1.12
0.86,0.71,0.66,0.93,1.14
0.82,0.70,0.68,0.98,1.16
0.79,0.69,0.72,1.02,1.18
0.77,0.67,0.76,1.06,1.19
0.75,0.66,0.82,1.09,1.20
0.73,0.66,0.87,1.12,1.21
0.71,0.66,0.93,1.14,1.22
0.70,0.68,0.98,1.16,1.24
0.69,0.72,1.02,1.18,1.25
0.67,0.76,1.06,1.19,1.27
0.66,0.82,1.09,1.20,1.28
0.66,0.87,1.12,1.21,1.28
0.66,0.93,1.14,1.22,1.26
0.68,0.98,1.16,1.24,1.23
0.72,1.02,1.18,1.25,1.19
0.76,1.06,1.19,1.27,1.13
0.82,1.09,1.20,1.28,1.08
0.87,1.12,1.21,1.28,1.02
0.93,1.14,1.22,1.26,0.97
0.98,1.16,1.24,1.23,0.91
1.02,1.18,1.25,1.19,0.86
1.06,1.19,1.27,1.13,0.81
1.09,1.20,1.28,1.08,0.76
1.12,1.21,1.28,1.02,0.72
1.14,1.22,1.26,0.97,0.67
1.16,1.24,1.23,0.91,0.63
1.18,1.25,1.19,0.86,0.59
1.19,1.27,1.13,0.81,0.55
1.20,1.28,1.08,0.76,0.52
1.21,1.28,1.02,0.72,0.49
1.22,1.26,0.97,0.67,0.47
1.24,1.23,0.91,0.63,0.46
1.25,1.19,0.86,0.59,0.47
1.27,1.13,0.81,0.55,0.49
1.28,1.08,0.76,0.52,0.53
1.28,1.02,0.72,0.49,0.58
1.26,0.97,0.67,0.47,0.65
1.23,0.91,0.63,0.46,0.73
1.19,0.86,0.59,0.47,0.79
1.13,0.81,0.55,0.49,0.85
1.08,0.76,0.52,0.53,0.90
1.02,0.72,0.49,0.58,0.94
0.97,0.67,0.47,0.65,0.97
0.91,0.63,0.46,0.73,0.99
0.86,0.59,0.47,0.79,1.00
0.81,0.55,0.49,0.85,1.01
0.76,0.52,0.53,0.90,1.00
0.72,0.49,0.58,0.94,1.00
0.67,0.47,0.65,0.97,0.99
0.63,0.46,0.73,0.99,0.99
0.59,0.47,0.79,1.00,0.98
0.55,0.49,0.85,1.01,0.99
0.52,0.53,0.90,1.00,1.01
0.49,0.58,0.94,1.00,1.03
0.47,0.65,0.97,0.99,1.07
0.46,0.73,0.99,0.99,1.10
0.47,0.79,1.00,0.98,1.13
0.49,0.85,1.01,0.99,1.15
0.53,0.90,1.00,1.01,1.16
0.58,0.94,1.00,1.03,1.15
0.65,0.97,0.99,1.07,1.14
0.73,0.99,0.99,1.10,1.13
0.79,1.00,0.98,1.13,1.11
0.85,1.01,0.99,1.15,1.10
0.90,1.00,1.01,1.16,1.09
0.94,1.00,1.03,1.15,1.08
0.97,0.99,1.07,1.14,1.08
0.99,0.99,1.10,1.13,1.08
1.00,0.98,1.13,1.11,1.08
1.01,0.99,1.15,1.10,1.07
1.00,1.01,1.16,1.09,1.05
1.00,1.03,1.15,1.08,1.02
0.99,1.07,1.14,1.08,0.98
0.99,1.10,1.13,1.08,0.93
0.98,1.13,1.11,1.08,0.89
0.99,1.15,1.10,1.07,0.84
1.01,1.16,1.09,1.05,0.81
1.03,1.15,1.08,1.02,0.77
1.07,1.14,1.08,0.98,0.75
1.10,1.13,1.08,0.93,0.73
1.13,1.11,1.08,0.89,0.72
1.15,1.10,1.07,0.84,0.72
1.16,1.09,1.05,0.81,0.71
1.15,1.08,1.02,0.77,0.71
1.14,1.08,0.98,0.75,0.71
1.13,1.08,0.93,0.73,0.71
1.11,1.08,0.89,0.72,0.71
1.10,1.07,0.84,0.72,0.72
1.09,1.05,0.81,0.71,0.74
1.08,1.02,0.77,0.71,0.77
1.08,0.98,0.75,0.71,0.82
1.08,0.93,0.73,0.71,0.87
1.08,0.89,0.72,0.71,0.92
1.07,0.84,0.72,0.72,0.97
1.05,0.81,0.71,0.74,1.02
1.02,0.77,0.71,0.77,1.06
0.98,0.75,0.71,0.82,1.09
0.93,0.73,0.71,0.87,1.12
0.89,0.72,0.71,0.92,1.14
0.84,0.72,0.72,0.97,1.17
0.81,0.71,0.74,1.02,1.19
0.77,0.71,0.77,1.06,1.20
0.75,0.71,0.82,1.09,1.22
0.73,0.71,0.87,1.12,1.23
0.72,0.71,0.92,1.14,1.25
0.72,0.72,0.97,1.17,1.26
0.71,0.74,1.02,1.19,1.28
0.71,0.77,1.06,1.20,1.30
0.71,0.82,1.09,1.22,1.31
0.71,0.87,1.12,1.23,1.30
0.71,0.92,1.14,1.25,1.28
0.72,0.97,1.17,1.26,1.25
0.74,1.02,1.19,1.28,1.20
0.77,1.06,1.20,1.30,1.15
0.82,1.09,1.22,1.31,1.09
0.87,1.12,1.23,1.30,1.04
0.92,1.14,1.25,1.28,0.98
0.97,1.17,1.26,1.25,0.92
1.02,1.19,1.28,1.20,0.86
1.06,1.20,1.30,1.15,0.81
1.09,1.22,1.31,1.09,0.76
1.12,1.23,1.30,1.04,0.71
1.14,1.25,1.28,0.98,0.66
1.17,1.26,1.25,0.92,0.62
1.19,1.28,1.20,0.86,0.58
1.20,1.30,1.15,0.81,0.54
1.22,1.31,1.09,0.76,0.50
1.23,1.30,1.04,0.71,0.47
1.25,1.28,0.98,0.66,0.45
1.26,1.25,0.92,0.62,0.44
1.28,1.20,0.86,0.58,0.44
1.30,1.15,0.81,0.54,0.46
1.31,1.09,0.76,0.50,0.50
1.30,1.04,0.71,0.47,0.55
1.28,0.98,0.66,0.45,0.62
1.25,0.92,0.62,0.44,0.70
1.20,0.86,0.58,0.44,0.77
1.15,0.81,0.54,0.46,0.83
1.09,0.76,0.50,0.50,0.88
1.04,0.71,0.47,0.55,0.92
0.98,0.66,0.45,0.62,0.95
0.92,0.62,0.44,0.70,0.97
0.86,0.58,0.44,0.77,0.98
0.81,0.54,0.46,0.83,0.98
0.76,0.50,0.50,0.88,0.98
0.71,0.47,0.55,0.92,0.97
0.66,0.45,0.62,0.95,0.96
0.62,0.44,0.70,0.97,0.96
0.58,0.44,0.77,0.98,0.95
0.54,0.46,0.83,0.98,0.96
0.50,0.50,0.88,0.98,0.97
0.47,0.55,0.92,0.97,1.00
0.45,0.62,0.95,0.96,1.03
0.44,0.70,0.97,0.96,1.07
0.44,0.77,0.98,0.95,1.10
0.46,0.83,0.98,0.96,1.13
0.50,0.88,0.98,0.97,1.14
0.55,0.92,0.97,1.00,1.15
0.62,0.95,0.96,1.03,1.14
0.70,0.97,0.96,1.07,1.14
0.77,0.98,0.95,1.10,1.13
0.83,0.98,0.96,1.13,1.13
0.88,0.98,0.97,1.14,1.12
0.92,0.97,1.00,1.15,1.13
0.95,0.96,1.03,1.14,1.13
0.97,0.96,1.07,1.14,1.14
0.98,0.95,1.10,1.13,1.14
0.98,0.96,1.13,1.13,1.14
0.98,0.97,1.14,1.12,1.13
0.97,1.00,1.15,1.13,1.10
0.96,1.03,1.14,1.13,1.07
0.96,1.07,1.14,1.14,1.02
0.95,1.10,1.13,1.14,0.97
0.96,1.13,1.13,1.14,0.93
0.97,1.14,1.12,1.13,0.88
1.00,1.15,1.13,1.10,0.84
1.03,1.14,1.13,1.07,0.81
1.07,1.14,1.14,1.02,0.78
1.10,1.13,1.14,0.97,0.76
1.13,1.13,1.14,0.93,0.74
1.14,1.12,1.13,0.88,0.72
1.15,1.13,1.10,0.84,0.70
1.14,1.13,1.07,0.81,0.68
1.13,1.14,0.97,0.76,0.64
1.13,1.14,0.93,0.74,0.63
1.12,1.13,0.88,0.72,0.63
1.13,1.10,0.84,0.70,0.64
1.13,1.07,0.81,0.68,0.67
1.14,1.02,0.78,0.66,0.71
1.14,0.97,0.76,0.64,0.76
1.14,0.93,0.74,0.63,0.82
1.13,0.88,0.72,0.63,0.88
1.10,0.84,0.70,0.64,0.93
1.07,0.81,0.68,0.67,0.98
1.02,0.78,0.66,0.71,1.02
0.97,0.76,0.64,0.76,1.06
0.93,0.74,0.63,0.82,1.09
0.88,0.72,0.63,0.88,1.11
0.84,0.70,0.64,0.93,1.14
0.81,0.68,0.67,0.98,1.15
0.78,0.66,0.71,1.02,1.16
0.76,0.64,0.76,1.06,1.17
0.74,0.63,0.82,1.09,1.18
0.72,0.63,0.88,1.11,1.19
0.70,0.64,0.93,1.14,1.20
0.68,0.67,0.98,1.15,1.22
0.66,0.71,1.02,1.16,1.24
0.64,0.76,1.06,1.17,1.26
0.63,0.82,1.09,1.18,1.27
0.63,0.88,1.11,1.19,1.27
0.64,0.93,1.14,1.20,1.25
0.67,0.98,1.15,1.22,1.22
0.71,1.02,1.16,1.24,1.17
0.76,1.06,1.17,1.26,1.12
0.82,1.09,1.18,1.27,1.07
0.88,1.11,1.19,1.27,1.02
0.93,1.14,1.20,1.25,0.96
0.98,1.15,1.22,1.22,0.91
1.02,1.16,1.24,1.17,0.86
1.06,1.17,1.26,1.12,0.82
1.09,1.18,1.27,1.07,0.77
1.11,1.19,1.27,1.02,0.73
1.14,1.20,1.25,0.96,0.69
1.15,1.22,1.22,0.91,0.65
1.16,1.24,1.17,0.86,0.61
1.17,1.26,1.12,0.82,0.57
1.18,1.27,1.07,0.77,0.54
1.19,1.27,1.02,0.73,0.51
1.20,1.25,0.96,0.69,0.49
1.22,1.22,0.91,0.65,0.48
1.24,1.17,0.86,0.61,0.49
1.26,1.12,0.82,0.57,0.51
1.27,1.07,0.77,0.54,0.55
1.27,1.02,0.73,0.51,0.61
1.25,0.96,0.69,0.49,0.67
1.22,0.91,0.65,0.48,0.74
1.17,0.86,0.61,0.49,0.81
1.12,0.82,0.57,0.51,0.87
1.07,0.77,0.54,0.55,0.92
1.02,0.73,0.51,0.61,0.96
0.96,0.69,0.49,0.67,0.99
0.91,0.65,0.48,0.74,1.01
0.86,0.61,0.49,0.81,1.03
0.82,0.57,0.51,0.87,1.03
0.77,0.54,0.55,0.92,1.03
0.73,0.51,0.61,0.96,1.02
0.69,0.49,0.67,0.99,1.02
0.65,0.48,0.74,1.01,1.01
0.61,0.49,0.81,1.03,1.02
0.57,0.51,0.87,1.03,1.02
0.54,0.55,0.92,1.03,1.04
0.51,0.61,0.96,1.02,1.07
0.49,0.67,0.99,1.02,1.10
0.48,0.74,1.01,1.01,1.13
0.49,0.81,1.03,1.02,1.16
0.51,0.87,1.03,1.02,1.17
0.55,0.92,1.03,1.04,1.17
0.61,0.96,1.02,1.07,1.16
0.67,0.99,1.02,1.10,1.14
0.74,1.01,1.01,1.13,1.11
0.81,1.03,1.02,1.16,1.09
0.87,1.03,1.02,1.17,1.07
0.92,1.03,1.04,1.17,1.05
0.96,1.02,1.07,1.16,1.04
0.99,1.02,1.10,1.14,1.03
1.01,1.01,1.13,1.11,1.02
1.03,1.02,1.16,1.09,1.01
1.03,1.02,1.17,1.07,1.00
1.03,1.04,1.17,1.05,0.97
1.02,1.07,1.16,1.04,0.94
1.02,1.10,1.14,1.03,0.90
1.01,1.13,1.11,1.02,0.85
1.02,1.16,1.09,1.01,0.81
1.02,1.17,1.07,1.00,0.77
1.04,1.17,1.05,0.97,0.74
1.07,1.16,1.04,0.94,0.72
1.10,1.14,1.03,0.90,0.70
1.13,1.11,1.02,0.85,0.70
1.16,1.09,1.01,0.81,0.70
1.17,1.07,1.00,0.77,0.71
1.17,1.05,0.97,0.74,0.72
1.16,1.04,0.94,0.72,0.73
1.14,1.03,0.90,0.70,0.75
1.11,1.02,0.85,0.70,0.77
1.09,1.01,0.81,0.70,0.79
1.07,1.00,0.77,0.71,0.82
1.05,0.97,0.74,0.72,0.86
1.04,0.94,0.72,0.73,0.91
1.03,0.90,0.70,0.75,0.96
1.02,0.85,0.70,0.77,1.00
1.01,0.81,0.70,0.79,1.04
1.00,0.77,0.71,0.82,1.08
0.97,0.74,0.72,0.86,1.11
0.94,0.72,0.73,0.91,1.13
0.90,0.70,0.75,0.96,1.15
0.85,0.70,0.77,1.00,1.17
0.81,0.70,0.79,1.04,1.19
0.77,0.71,0.82,1.08,1.21
0.74,0.72,0.86,1.11,1.23
0.72,0.73,0.91,1.13,1.25
0.70,0.75,0.96,1.15,1.27
0.70,0.77,1.00,1.17,1.28
0.70,0.79,1.04,1.19,1.30
0.71,0.82,1.08,1.21,1.31
0.72,0.86,1.11,1.23,1.31
0.73,0.91,1.13,1.25,1.29
0.75,0.96,1.15,1.27,1.27
0.77,1.00,1.17,1.28,1.22
0.79,1.04,1.19,1.30,1.17
0.82,1.08,1.21,1.31,1.12
0.86,1.11,1.23,1.31,1.06
0.91,1.13,1.25,1.29,1.00
0.96,1.15,1.27,1.27,0.94
1.00,1.17,1.28,1.22,0.89
1.04,1.19,1.30,1.17,0.83
1.08,1.21,1.31,1.12,0.78
1.11,1.23,1.31,1.06,0.73
1.13,1.25,1.29,1.00,0.68
1.15,1.27,1.27,0.94,0.63
1.17,1.28,1.22,0.89,0.59
1.19,1.30,1.17,0.83,0.55
1.21,1.31,1.12,0.78,0.51
1.23,1.31,1.06,0.73,0.48
1.25,1.29,1.00,0.68,0.46
1.27,1.27,0.94,0.63,0.44
1.28,1.22,0.89,0.59,0.44
1.30,1.17,0.83,0.55,0.45
1.31,1.12,0.78,0.51,0.48
1.31,1.06,0.73,0.48,0.53
1.29,1.00,0.68,0.46,0.59
1.27,0.94,0.63,0.44,0.67
1.22,0.89,0.59,0.44,0.74
1.17,0.83,0.55,0.45,0.81
1.12,0.78,0.51,0.48,0.86
1.06,0.73,0.48,0.53,0.91
1.00,0.68,0.46,0.59,0.94
0.94,0.63,0.44,0.67,0.96
0.89,0.59,0.44,0.74,0.98
0.83,0.55,0.45,0.81,0.98
0.78,0.51,0.48,0.86,0.98
0.73,0.48,0.53,0.91,0.97
0.68,0.46,0.59,0.94,0.96
0.63,0.44,0.67,0.96,0.96
0.59,0.44,0.74,0.98,0.95
0.55,0.45,0.81,0.98,0.95
0.51,0.48,0.86,0.98,0.96
0.48,0.53,0.91,0.97,0.98
0.46,0.59,0.94,0.96,1.01
0.44,0.67,0.96,0.96,1.05
0.44,0.74,0.98,0.95,1.09
0.45,0.81,0.98,0.95,1.12
0.48,0.86,0.98,0.96,1.14
0.53,0.91,0.97,0.98,1.15
0.59,0.94,0.96,1.01,1.14
0.67,0.96,0.96,1.05,1.14
0.74,0.98,0.95,1.09,1.13
0.81,0.98,0.95,1.12,1.13
0.86,0.98,0.96,1.14,1.13
0.91,0.97,0.98,1.15,1.13
0.94,0.96,1.01,1.14,1.13
0.96,0.96,1.05,1.14,1.14
0.98,0.95,1.09,1.13,1.14
0.98,0.95,1.12,1.13,1.14
0.98,0.96,1.14,1.13,1.14
0.97,0.98,1.15,1.13,1.12
0.96,1.01,1.14,1.13,1.09
0.96,1.05,1.14,1.14,1.05
0.95,1.09,1.13,1.14,1.00
0.95,1.12,1.13,1.14,0.95
0.96,1.14,1.13,1.14,0.91
0.98,1.15,1.13,1.12,0.86
1.01,1.14,1.13,1.09,0.83
1.05,1.14,1.14,1.05,0.80
1.09,1.13,1.14,1.00,0.77
1.12,1.13,1.14,0.95,0.75
1.14,1.13,1.14,0.91,0.73
1.15,1.13,1.12,0.86,0.70
1.14,1.13,1.09,0.83,0.68
1.14,1.14,1.05,0.80,0.66
1.13,1.14,1.00,0.77,0.65
1.13,1.14,0.95,0.75,0.63
